fuel	period	month	price
CA_Coal	2020	10	3.4333852790527
CA_Coal	2020	11	3.4333852790527
CA_Coal	2020	12	3.4333852790527
CA_Coal	2022	1	3.58267388004794
CA_Coal	2022	2	3.58267388004794
CA_Coal	2022	3	3.58267388004794
CA_Coal	2022	4	3.58267388004794
CA_Coal	2022	5	3.58267388004794
CA_Coal	2022	6	3.58267388004794
CA_Coal	2022	7	3.58267388004794
CA_Coal	2022	8	3.58267388004794
CA_Coal	2022	9	3.58267388004794
CA_Coal	2022	10	3.58267388004794
CA_Coal	2022	11	3.58267388004794
CA_Coal	2022	12	3.58267388004794
CA_Coal	2026	1	3.93568757554297
CA_Coal	2026	2	3.93568757554297
CA_Coal	2026	3	3.93568757554297
CA_Coal	2026	4	3.93568757554297
CA_Coal	2026	5	3.93568757554297
CA_Coal	2026	6	3.93568757554297
CA_Coal	2026	7	3.93568757554297
CA_Coal	2026	8	3.93568757554297
CA_Coal	2026	9	3.93568757554297
CA_Coal	2026	10	3.93568757554297
CA_Coal	2026	11	3.93568757554297
CA_Coal	2026	12	3.93568757554297
CA_Coal	2030	1	4.37327420100851
CA_Coal	2030	2	4.37327420100851
CA_Coal	2030	3	4.37327420100851
CA_Coal	2030	4	4.37327420100851
CA_Coal	2030	5	4.37327420100851
CA_Coal	2030	6	4.37327420100851
CA_Coal	2030	7	4.37327420100851
CA_Coal	2030	8	4.37327420100851
CA_Coal	2030	9	4.37327420100851
CA_Coal	2030	10	4.37327420100851
CA_Coal	2030	11	4.37327420100851
CA_Coal	2030	12	4.37327420100851
CA_Coal	2035	1	5.05944797411566
CA_Coal	2035	2	5.05944797411566
CA_Coal	2035	3	5.05944797411566
CA_Coal	2035	4	5.05944797411566
CA_Coal	2035	5	5.05944797411566
CA_Coal	2035	6	5.05944797411566
CA_Coal	2035	7	5.05944797411566
CA_Coal	2035	8	5.05944797411566
CA_Coal	2035	9	5.05944797411566
CA_Coal	2035	10	5.05944797411566
CA_Coal	2035	11	5.05944797411566
CA_Coal	2035	12	5.05944797411566
CA_Coal	2040	1	5.94401199083647
CA_Coal	2040	2	5.94401199083647
CA_Coal	2040	3	5.94401199083647
CA_Coal	2040	4	5.94401199083647
CA_Coal	2040	5	5.94401199083647
CA_Coal	2040	6	5.94401199083647
CA_Coal	2040	7	5.94401199083647
CA_Coal	2040	8	5.94401199083647
CA_Coal	2040	9	5.94401199083647
CA_Coal	2040	10	5.94401199083647
CA_Coal	2040	11	5.94401199083647
CA_Coal	2040	12	5.94401199083647
CA_Coal	2045	1	7.08432590306039
CA_Coal	2045	2	7.08432590306039
CA_Coal	2045	3	7.08432590306039
CA_Coal	2045	4	7.08432590306039
CA_Coal	2045	5	7.08432590306039
CA_Coal	2045	6	7.08432590306039
CA_Coal	2045	7	7.08432590306039
CA_Coal	2045	8	7.08432590306039
CA_Coal	2045	9	7.08432590306039
CA_Coal	2045	10	7.08432590306039
CA_Coal	2045	11	7.08432590306039
CA_Coal	2045	12	7.08432590306039
Coal	2020	1	2
Coal	2020	2	2
Coal	2020	3	2
Coal	2020	4	2
Coal	2020	5	2
Coal	2020	6	2
Coal	2020	7	2
Coal	2020	8	2
Coal	2020	9	2
Coal	2020	10	2
Coal	2020	11	2
Coal	2020	12	2
Coal	2022	1	2
Coal	2022	2	2
Coal	2022	3	2
Coal	2022	4	2
Coal	2022	5	2
Coal	2022	6	2
Coal	2022	7	2
Coal	2022	8	2
Coal	2022	9	2
Coal	2022	10	2
Coal	2022	11	2
Coal	2022	12	2
Coal	2026	1	2
Coal	2026	2	2
Coal	2026	3	2
Coal	2026	4	2
Coal	2026	5	2
Coal	2026	6	2
Coal	2026	7	2
Coal	2026	8	2
Coal	2026	9	2
Coal	2026	10	2
Coal	2026	11	2
Coal	2026	12	2
Coal	2030	1	2
Coal	2030	2	2
Coal	2030	3	2
Coal	2030	4	2
Coal	2030	5	2
Coal	2030	6	2
Coal	2030	7	2
Coal	2030	8	2
Coal	2030	9	2
Coal	2030	10	2
Coal	2030	11	2
Coal	2030	12	2
Coal	2035	1	2
Coal	2035	2	2
Coal	2035	3	2
Coal	2035	4	2
Coal	2035	5	2
Coal	2035	6	2
Coal	2035	7	2
Coal	2035	8	2
Coal	2035	9	2
Coal	2035	10	2
Coal	2035	11	2
Coal	2035	12	2
Coal	2040	1	2
Coal	2040	2	2
Coal	2040	3	2
Coal	2040	4	2
Coal	2040	5	2
Coal	2040	6	2
Coal	2040	7	2
Coal	2040	8	2
Coal	2040	9	2
Coal	2040	10	2
Coal	2040	11	2
Coal	2040	12	2
Coal	2045	1	2
Coal	2045	2	2
Coal	2045	3	2
Coal	2045	4	2
Coal	2045	5	2
Coal	2045	6	2
Coal	2045	7	2
Coal	2045	8	2
Coal	2045	9	2
Coal	2045	10	2
Coal	2045	11	2
Coal	2045	12	2
Uranium	2020	1	0.7
Uranium	2020	2	0.7
Uranium	2020	3	0.7
Uranium	2020	4	0.7
Uranium	2020	5	0.7
Uranium	2020	6	0.7
Uranium	2020	7	0.7
Uranium	2020	8	0.7
Uranium	2020	9	0.7
Uranium	2020	10	0.7
Uranium	2020	11	0.7
Uranium	2020	12	0.7
Uranium	2022	1	0.7
Uranium	2022	2	0.7
Uranium	2022	3	0.7
Uranium	2022	4	0.7
Uranium	2022	5	0.7
Uranium	2022	6	0.7
Uranium	2022	7	0.7
Uranium	2022	8	0.7
Uranium	2022	9	0.7
Uranium	2022	10	0.7
Uranium	2022	11	0.7
Uranium	2022	12	0.7
Uranium	2026	1	0.7
Uranium	2026	2	0.7
Uranium	2026	3	0.7
Uranium	2026	4	0.7
Uranium	2026	5	0.7
Uranium	2026	6	0.7
Uranium	2026	7	0.7
Uranium	2026	8	0.7
Uranium	2026	9	0.7
Uranium	2026	10	0.7
Uranium	2026	11	0.7
Uranium	2026	12	0.7
Uranium	2030	1	0.7
Uranium	2030	2	0.7
Uranium	2030	3	0.7
Uranium	2030	4	0.7
Uranium	2030	5	0.7
Uranium	2030	6	0.7
Uranium	2030	7	0.7
Uranium	2030	8	0.7
Uranium	2030	9	0.7
Uranium	2030	10	0.7
Uranium	2030	11	0.7
Uranium	2030	12	0.7
Uranium	2035	1	0.7
Uranium	2035	2	0.7
Uranium	2035	3	0.7
Uranium	2035	4	0.7
Uranium	2035	5	0.7
Uranium	2035	6	0.7
Uranium	2035	7	0.7
Uranium	2035	8	0.7
Uranium	2035	9	0.7
Uranium	2035	10	0.7
Uranium	2035	11	0.7
Uranium	2035	12	0.7
Uranium	2040	1	0.7
Uranium	2040	2	0.7
Uranium	2040	3	0.7
Uranium	2040	4	0.7
Uranium	2040	5	0.7
Uranium	2040	6	0.7
Uranium	2040	7	0.7
Uranium	2040	8	0.7
Uranium	2040	9	0.7
Uranium	2040	10	0.7
Uranium	2040	11	0.7
Uranium	2040	12	0.7
Uranium	2045	1	0.7
Uranium	2045	2	0.7
Uranium	2045	3	0.7
Uranium	2045	4	0.7
Uranium	2045	5	0.7
Uranium	2045	6	0.7
Uranium	2045	7	0.7
Uranium	2045	8	0.7
Uranium	2045	9	0.7
Uranium	2045	10	0.7
Uranium	2045	11	0.7
Uranium	2045	12	0.7
Conventional_DR	2020	1	0
Conventional_DR	2020	2	0
Conventional_DR	2020	3	0
Conventional_DR	2020	4	0
Conventional_DR	2020	5	0
Conventional_DR	2020	6	0
Conventional_DR	2020	7	0
Conventional_DR	2020	8	0
Conventional_DR	2020	9	0
Conventional_DR	2020	10	0
Conventional_DR	2020	11	0
Conventional_DR	2020	12	0
Conventional_DR	2022	1	0
Conventional_DR	2022	2	0
Conventional_DR	2022	3	0
Conventional_DR	2022	4	0
Conventional_DR	2022	5	0
Conventional_DR	2022	6	0
Conventional_DR	2022	7	0
Conventional_DR	2022	8	0
Conventional_DR	2022	9	0
Conventional_DR	2022	10	0
Conventional_DR	2022	11	0
Conventional_DR	2022	12	0
Conventional_DR	2026	1	0
Conventional_DR	2026	2	0
