resource	day_id	hr_of_day	cap_factor	downward_lf_req	upward_lf_req
SW_Ext_Tx_Wind	32	3	0.822418130322956	0	0
SW_Ext_Tx_Wind	32	4	0.808457117239377	0	0
SW_Ext_Tx_Wind	32	5	0.601943901536953	0	0
SW_Ext_Tx_Wind	32	6	0.497649596971623	0	0
SW_Ext_Tx_Wind	32	7	0.55116690449118	0	0
SW_Ext_Tx_Wind	32	8	0.516450851080606	0	0
SW_Ext_Tx_Wind	32	9	0.467835833836317	0	0
SW_Ext_Tx_Wind	32	10	0.404837960720807	0	0
SW_Ext_Tx_Wind	32	11	0.48770445706868	0	0
SW_Ext_Tx_Wind	32	12	0.592268278961307	0	0
SW_Ext_Tx_Wind	32	13	0.571601672361031	0	0
SW_Ext_Tx_Wind	32	14	0.522341279341415	0	0
SW_Ext_Tx_Wind	32	15	0.591275457643338	0	0
SW_Ext_Tx_Wind	32	16	0.550477541202987	0	0
SW_Ext_Tx_Wind	32	17	0.537148513764921	0	0
SW_Ext_Tx_Wind	32	18	0.721030052207249	0	0
SW_Ext_Tx_Wind	32	19	0.727711631260126	0	0
SW_Ext_Tx_Wind	32	20	0.753603768256318	0	0
SW_Ext_Tx_Wind	32	21	0.807124452383113	0	0
SW_Ext_Tx_Wind	32	22	0.731046793029429	0	0
SW_Ext_Tx_Wind	32	23	0.600828665880717	0	0
SW_Ext_Tx_Wind	33	0	0.612696884004482	0	0
SW_Ext_Tx_Wind	33	1	0.624989730569263	0	0
SW_Ext_Tx_Wind	33	2	0.514869288604106	0	0
SW_Ext_Tx_Wind	33	3	0.269040761148257	0	0
SW_Ext_Tx_Wind	33	4	0.159419985733072	0	0
SW_Ext_Tx_Wind	33	5	0.129229630295098	0	0
SW_Ext_Tx_Wind	33	6	3.36206960632552E-02	0	0
SW_Ext_Tx_Wind	33	7	0.112743231080743	0	0
SW_Ext_Tx_Wind	33	8	0.158642675783038	0	0
SW_Ext_Tx_Wind	33	9	0.199443610013393	0	0
SW_Ext_Tx_Wind	33	10	0.29682325799555	0	0
SW_Ext_Tx_Wind	33	11	0.528492839661616	0	0
SW_Ext_Tx_Wind	33	12	0.760961950371197	0	0
SW_Ext_Tx_Wind	33	13	0.929968688244257	0	0
SW_Ext_Tx_Wind	33	14	0.977735752065268	0	0
SW_Ext_Tx_Wind	33	15	0.991133476708138	0	0
SW_Ext_Tx_Wind	33	16	0.952272803176316	0	0
SW_Ext_Tx_Wind	33	17	0.751246549018279	0	0
SW_Ext_Tx_Wind	33	18	0.593966700437997	0	0
SW_Ext_Tx_Wind	33	19	0.58658925803149	0	0
SW_Ext_Tx_Wind	33	20	0.61222572346835	0	0
SW_Ext_Tx_Wind	33	21	0.606773145134691	0	0
SW_Ext_Tx_Wind	33	22	0.551720250313758	0	0
SW_Ext_Tx_Wind	33	23	0.357464187235009	0	0
SW_Ext_Tx_Wind	34	0	0.612696884004482	0	0
SW_Ext_Tx_Wind	34	1	0.624989730569263	0	0
SW_Ext_Tx_Wind	34	2	0.514869288604106	0	0
SW_Ext_Tx_Wind	34	3	0.269040761148257	0	0
SW_Ext_Tx_Wind	34	4	0.159419985733072	0	0
SW_Ext_Tx_Wind	34	5	0.129229630295098	0	0
SW_Ext_Tx_Wind	34	6	3.36206960632552E-02	0	0
SW_Ext_Tx_Wind	34	7	0.112743231080743	0	0
SW_Ext_Tx_Wind	34	8	0.158642675783038	0	0
SW_Ext_Tx_Wind	34	9	0.199443610013393	0	0
SW_Ext_Tx_Wind	34	10	0.29682325799555	0	0
SW_Ext_Tx_Wind	34	11	0.528492839661616	0	0
SW_Ext_Tx_Wind	34	12	0.760961950371197	0	0
SW_Ext_Tx_Wind	34	13	0.929968688244257	0	0
SW_Ext_Tx_Wind	34	14	0.977735752065268	0	0
SW_Ext_Tx_Wind	34	15	0.991133476708138	0	0
SW_Ext_Tx_Wind	34	16	0.952272803176316	0	0
SW_Ext_Tx_Wind	34	17	0.751246549018279	0	0
SW_Ext_Tx_Wind	34	18	0.593966700437997	0	0
SW_Ext_Tx_Wind	34	19	0.58658925803149	0	0
