simultaneous_flow_group,period,timepoint_id,day,hour_of_day,day_weight,simultaneous_flow_group_dual_$
NW_to_CA,2020,20200513,5,12,6.69944357053316,0
CAISO_Export_Limit,2020,20200513,5,12,6.69944357053316,0
CAISO_Import_Limit,2020,20200513,5,12,6.69944357053316,0
CA_to_NW,2020,20200514,5,13,6.69944357053316,0
NW_to_CA,2020,20200514,5,13,6.69944357053316,0
CAISO_Export_Limit,2020,20200514,5,13,6.69944357053316,0
CAISO_Import_Limit,2020,20200514,5,13,6.69944357053316,0
CA_to_NW,2020,20200515,5,14,6.69944357053316,0
NW_to_CA,2020,20200515,5,14,6.69944357053316,0
CAISO_Export_Limit,2020,20200515,5,14,6.69944357053316,0
CAISO_Import_Limit,2020,20200515,5,14,6.69944357053316,0
CA_to_NW,2020,20200516,5,15,6.69944357053316,0
NW_to_CA,2020,20200516,5,15,6.69944357053316,0
CAISO_Export_Limit,2020,20200516,5,15,6.69944357053316,0
